City,Gender,Education ,Crimes,CMPLNT_FR_DT,CMPLNT_TO_DT,OFNS_DESC,PD_CD,PD_DESC,BORO_NM,ADDR_PCT_CD,PREM_TYP_DESC,Age,X_COORD_CD,Y_COORD_CD,Latitude,Longitude,Lat_Lon
NY,Male,Primary ,Murders,9/30/2019,9/30/2016,DANGEROUS WEAPONS,782,"WEAPONS, POSSESSION, ETC",BRONX,42,TRANSIT - NYC SUBWAY,23,1015308,244373,40.83737636,-73.88776093,"(40.837376359, -73.887760929)"
NY,Female,Secondary,Rapes,9/30/2019,9/30/2016,ASSAULT 3 & RELATED OFFENSES,101,ASSAULT 3,BROOKLYN,71,STREET,68,997932,180172,40.66120487,-73.95068665,"(40.661204871, -73.950686652)"
NY,Male,Graduate,Robberies,9/30/2019,9/30/2016,DANGEROUS DRUGS,567,"MARIJUANA, POSSESSION 4 & 5",BRONX,43,RESIDENCE - PUBLIC HOUSING,61,1025580,236918,40.81687244,-73.85068493,"(40.816872438, -73.850684927)"
NY,Female,Post Graduate,Assaults,9/30/2019,,DANGEROUS WEAPONS,793,WEAPONS POSSESSION 3,QUEENS,103,STREET,30,1038464,192970,40.69617701,-73.80449227,"(40.696177006, -73.804492266)"
NY,Male,Primary ,Burglaries,9/30/2019,9/30/2016,HARRASSMENT 2,637,"HARASSMENT,SUBD 1,CIVILIAN",QUEENS,110,STREET,0,1016301,209428,40.74145825,-73.88433907,"(40.741458245, -73.884339073)"
NY,Female,Secondary,Thefts,9/30/2019,9/30/2016,DANGEROUS WEAPONS,792,WEAPONS POSSESSION 1 & 2,BROOKLYN,75,STREET,44,1016123,180753,40.66275279,-73.88511713,"(40.662752793, -73.885117129)"
NY,Male,Primary ,Auto Thefts,9/30/2019,,DANGEROUS WEAPONS,782,"WEAPONS, POSSESSION, ETC",BRONX,49,STREET,70,1021316,253601,40.86268129,-73.86599763,"(40.862681292, -73.86599763)"
NY,Female,Secondary,Murders,9/30/2019,9/30/2016,DANGEROUS DRUGS,511,"CONTROLLED SUBSTANCE, POSSESSI",MANHATTAN,25,STREET,0,1001446,234215,40.8095334,-73.93788283,"(40.809533401, -73.937882826)"
NY,Male,Primary ,Rapes,9/30/2019,,DANGEROUS DRUGS,568,"MARIJUANA, POSSESSION 1, 2 & 3",MANHATTAN,33,STREET,47,1000481,243059,40.83380951,-73.94134739,"(40.833809505, -73.941347389)"
NY,Female,Secondary,Robberies,9/30/2019,9/30/2016,DANGEROUS DRUGS,501,"CONTROLLED SUBSTANCE,POSSESS.",BRONX,43,RESIDENCE - PUBLIC HOUSING,20,1021576,240437,40.82654891,-73.86513093,"(40.826548914, -73.865130932)"
NY,Male,Primary ,Assaults,9/30/2019,9/30/2016,ASSAULT 3 & RELATED OFFENSES,101,ASSAULT 3,BROOKLYN,68,RESIDENCE-HOUSE,42,983959,166877,40.62472351,-74.00104974,"(40.624723511, -74.001049736)"
NY,Female,Secondary,Burglaries,9/30/2019,9/30/2016,ROBBERY,389,"ROBBERY,DWELLING",QUEENS,115,RESIDENCE-HOUSE,56,1017798,213038,40.75136123,-73.87891885,"(40.75136123, -73.878918851)"
NY,Male,Primary ,Thefts,9/30/2019,9/30/2016,ASSAULT 3 & RELATED OFFENSES,101,ASSAULT 3,MANHATTAN,18,RESTAURANT/DINER,31,988950,216678,40.76141449,-73.98303549,"(40.761414491, -73.983035492)"
