City,Statistic,Los Angeles/100k people,National/100k people
Los Angeles,Murder,6.4,5
Los Angeles,Rape,62.7,42.6
Los Angeles,Robbery,256.3,86.2
Los Angeles,Assault,422.2,246.8
Los Angeles,Violent crime,748,381
Los Angeles,Burglary,396.8,376
Los Angeles,Theft,"1,686.50","1,594.60"
Los Angeles,Vehicle theft,429.7,228.9
Los Angeles,Property crime,"2,513","2,200"
New York,Murders,5.68,5
New York,Rapes,10.68,42.6
New York,Robberies,62.76,86.2
New York,Assaults,233.14,246.8
New York,Burglaries,51.16,376
New York,Thefts,1231.52,"1,594.60"
New York,Auto Thefts,42.48,40
